X,Y,record_id,street_num,street_dir,street_name,date_status,address_id,parcel_id,lon,lat,ObjectId
-83.084769,42.446714,VPO2023-01412,1796,,8 MILE,2023/09/11 04:00:00+00,535751,09008225.,-83.084769,42.446714,860
-83.047973,42.437841,VPO2023-01413,19428,,BUFFALO,2023/10/30 04:00:00+00,291921,13014784-5,-83.047973,42.437841,861
-83.009694,42.365841,VPO2023-01414,7601,,MACK,2023/09/05 04:00:00+00,541085,17000340.,-83.009694,42.365841,862
-83.151668,42.40277,VPO2023-01415,8200,,FENKELL,2023/09/11 04:00:00+00,542318,16007221-2,-83.151668,42.40277,863
-83.142222,42.417853,VPO2023-01416,17145,,STOEPEL,2023/09/06 04:00:00+00,13248,16019466.,-83.142222,42.417853,864
-82.934929,42.419223,VPO2023-01418,9140,,WOODHALL,2023/09/11 04:00:00+00,295217,21075975.,-82.934929,42.419223,865
-83.079099,42.43878,VPO2023-01419,19664,,FLEMING,2023/09/06 04:00:00+00,286603,09014701.,-83.079099,42.43878,866
-83.079319,42.42662,VPO2023-01420,18057,,FLEMING,2023/09/06 04:00:00+00,290086,09014843.,-83.079319,42.42662,867
-82.994827,42.42301,VPO2023-01423,12600,EAST,MCNICHOLS,2023/09/06 04:00:00+00,535256,21020033.,-82.994827,42.42301,868
-83.00988,42.364701,VPO2023-01425,3496,,SHERIDAN,2023/09/27 04:00:00+00,338479,17012760.,-83.00988,42.364701,869
-83.261877,42.4178,VPO2023-01426,22345,,GRAND RIVER,2023/11/07 05:00:00+00,353240,22007496-8,-83.261877,42.4178,870
-83.199802,42.436919,VPO2023-01427,19780,,GREENFIELD,2023/09/11 04:00:00+00,60678,22050360-1,-83.199802,42.436919,871
-82.990247,42.416677,VPO2023-01428,12347,,GRATIOT,2023/09/07 04:00:00+00,542360,21028944.,-82.990247,42.416677,872
-82.938334,42.417596,VPO2023-01429,9158,,HARVARD,2023/09/11 04:00:00+00,295343,21074491.,-82.938334,42.417596,873
-83.164588,42.431535,VPO2023-01430,10310,W,SEVEN MILE,2023/10/12 04:00:00+00,535110,16008731-2,-83.164588,42.431535,874
-83.028999,42.423721,VPO2023-01434,7171,,DAVISON,2023/09/26 04:00:00+00,269515,15003860-4,-83.028999,42.423721,875
-82.940615,42.413386,VPO2023-01440,16632,,HARPER,2023/09/11 04:00:00+00,370624,21003807.,-82.940615,42.413386,876
-83.06922,42.445906,VPO2023-01441,20451,,REVERE,2023/09/29 04:00:00+00,285512,13022581.,-83.06922,42.445906,877
-83.261032,42.387535,VPO2023-01442,13994,,LAMPHERE,2023/09/29 04:00:00+00,138498,22116144.,-83.261032,42.387535,878
-83.004964,42.418384,VPO2023-01443,11446,,KENNEBEC,2023/11/14 05:00:00+00,231786,21014187.,-83.004964,42.418384,879
-83.081464,42.435822,VPO2023-01444,19324,,ST AUBIN,2023/11/15 05:00:00+00,287508,09015807-8,-83.081464,42.435822,880
-83.024765,42.43945,VPO2023-01445,19639,,VAN DYKE,2023/09/09 04:00:00+00,269457,15005244-48,-83.024765,42.43945,881
-83.132035,42.326944,VPO2023-01446,7347,,PARKWOOD,2023/09/11 04:00:00+00,159006,18002080.,-83.132035,42.326944,882
-82.993815,42.403889,VPO2023-01448,10985,,CHELSEA,2023/09/11 04:00:00+00,230993,21008059.,-82.993815,42.403889,883
-83.20359,42.408873,VPO2023-01449,15900,,PURITAN,2023/09/11 04:00:00+00,538136,22012220.002L,-83.20359,42.408873,884
-83.110426,42.429099,VPO2023-01450,574,,GOLDEN GATE,2023/09/20 04:00:00+00,61559,01006404.,-83.110426,42.429099,885
-83.119854,42.356755,VPO2023-01452,4603,,PACIFIC,2023/09/11 04:00:00+00,194413,14002072.,-83.119854,42.356755,886
-83.151216,42.373363,VPO2023-01453,10911,W,GRAND RIVER,2023/09/11 04:00:00+00,486507,18006757.,-83.151216,42.373363,887
-83.163605,42.402639,VPO2023-01456,10340,,FENKELL,2023/09/12 04:00:00+00,421390,16007131.,-83.163605,42.402639,888
-83.178712,42.400925,VPO2023-01458,15070,,SCHAEFER,2023/09/14 04:00:00+00,92157,22029922-8,-83.178712,42.400925,889
-83.123919,42.380129,VPO2023-01464,11722,,DEXTER,2023/09/13 04:00:00+00,412643,12010504.,-83.123919,42.380129,890
-83.050433,42.333222,VPO2023-01465,1242,,WASHINGTON BLVD,2023/09/14 04:00:00+00,537092,02000284.,-83.050433,42.333222,891
-82.961127,42.445308,VPO2023-01466,15516,,EASTBURN,2023/09/14 04:00:00+00,117379,21025587.,-82.961127,42.445308,892
-83.09825,42.319501,VPO2023-01467,4652,W,VERNOR,2023/10/01 04:00:00+00,220142,16000790.,-83.09825,42.319501,893
-83.151004,42.420359,VPO2023-01468,17400,,GREENLAWN,2023/10/01 04:00:00+00,12642,16029483.,-83.151004,42.420359,894
-83.122948,42.368433,VPO2023-01469,4232,,JOY,2023/10/03 04:00:00+00,349242,14003424.,-83.122948,42.368433,895
-83.102643,42.421575,VPO2023-01470,39,,CEDARHURST,2023/10/07 04:00:00+00,324086,01004845.,-83.102643,42.421575,896
-83.151907,42.438911,VPO2023-01471,8060,,PEMBROKE,2023/10/07 04:00:00+00,22677,16009239-41,-83.151907,42.438911,897
-83.247398,42.412148,VPO2023-01474,20853,,GRAND RIVER,2023/09/26 04:00:00+00,118946,22007420-4,-83.247398,42.412148,898
-82.990518,42.416245,VPO2023-01475,12315,,GRATIOT,2023/09/15 04:00:00+00,247321,21028938.,-82.990518,42.416245,899
-82.990511,42.416162,VPO2023-01476,12307,,GRATIOT,2023/09/15 04:00:00+00,537064,21028937.,-82.990511,42.416162,900
-82.990518,42.416245,VPO2023-01477,12311,,GRATIOT,2023/09/15 04:00:00+00,542359,21028938.,-82.990518,42.416245,901
-83.177433,42.422879,VPO2023-01478,18060,,JAMES COUZENS,2023/09/20 04:00:00+00,538486,22019124.,-83.177433,42.422879,902
-83.177558,42.423009,VPO2023-01479,18072,,JAMES COUZENS,2023/09/20 04:00:00+00,538491,22019127.,-83.177558,42.423009,903
-83.075921,42.375318,VPO2023-01481,21,,MARSTON,2023/10/07 04:00:00+00,341448,01004314-5,-83.075921,42.375318,904
-83.242611,42.439193,VPO2023-01483,20050,,KENTFIELD,2023/10/16 04:00:00+00,102044,22100440.018,-83.242611,42.439193,905
-83.168285,42.409354,VPO2023-01484,10731,,PURITAN,2023/09/18 04:00:00+00,536804,16007635-41,-83.168285,42.409354,906
-83.258158,42.435697,VPO2023-01487,19776,,LAHSER,2023/10/04 04:00:00+00,87238,22113506-7,-83.258158,42.435697,907
-83.28025,42.429164,VPO2023-01488,24270,,SEVEN MILE,2023/10/04 04:00:00+00,353310,22016787.,-83.28025,42.429164,908
-83.1424,42.421565,VPO2023-01489,17551,,-53 STOEPEL,2023/10/06 04:00:00+00,11407,16019436.,-83.1424,42.421565,909
-83.084593,42.423122,VPO2023-01490,17580,,ORLEANS,2023/10/07 04:00:00+00,279379,09017761.,-83.084593,42.423122,910
-83.147726,42.402819,VPO2023-01491,7624,,FENKELL,2023/10/03 04:00:00+00,514746,16007242.,-83.147726,42.402819,911
-82.972601,42.417969,VPO2023-01492,11302,,CHALMERS,2023/09/19 04:00:00+00,545337,21055576.,-82.972601,42.417969,912
-82.994661,42.403079,VPO2023-01493,9830,,CONNER,2023/09/19 04:00:00+00,230698,21046256-61,-82.994661,42.403079,913
